Year,Avg_Tmean
2014,12.659999999999998
2017,12.17445054945055
2015,12.107417582417584
1989,12.095890410958903
2002,12.084383561643836
1997,12.043835616438356
2003,12.026795580110496
1990,12.002479338842974
1999,11.953424657534246
2016,11.919125683060107
