Year,Avg_Tmax,Avg_Tmin,Total_Rainfall,Tmax_10yr_Rolling,Tmax_Anomaly_vs_1979_2000
1976,12.87654986522911,5.937735849056604,23780.1,12.569424540390116,0.0518002980992324
1977,12.228108108108108,5.75,26138.4,12.536224270868518,-0.5966414590217699
1978,12.198947368421054,5.786052631578947,25836.3,12.542794831886448,-0.6258021987088238
1979,11.691450777202071,5.130829015544041,29639.8,12.483597518302306,-1.1332987899278066
1980,12.300516795865631,5.8093023255813945,28958.7,12.46696411501594,-0.5242327712642467
1981,12.197650130548302,5.558746736292428,28328.3,12.400385042049267,-0.6270994365815756
1982,12.913020833333334,6.018229166666667,29114.9,12.463451831264951,0.0882712662034563
1983,12.788203753351208,6.183914209115281,25171.4,12.47725843249539,-0.0365458137786696
1984,12.857329842931938,5.895287958115183,26546.8,12.506866755541973,0.0325802758020596
1985,11.848924731182796,5.29516129032258,25558.7,12.390070220617355,-0.9758248359470816
1986,11.914432989690722,5.203865979381443,28908.8,12.293858533063515,-0.910316577439156
1987,12.106234413965089,5.60149625935162,28244.3,12.281671163649214,-0.7185151531647893
1988,12.859045226130652,6.328643216080402,29025.9,12.347680949420177,0.0342956590007741
1989,13.758095238095237,6.4697619047619055,27464.9,12.554345395509491,0.9333456709653588
1990,13.839364303178485,6.776039119804401,28453.8,12.708230146240776,1.0146147360486069
1991,12.633898305084744,5.9450363196125915,27365.7,12.75185496369442,-0.1908512620451343
1992,12.942822384428224,6.187834549878345,30809.3,12.754835118803909,0.118072817298346
1993,12.530266343825666,6.005326876513316,30325.7,12.729041377851356,-0.294483223304212
1994,13.106730769230769,6.485576923076923,31749.3,12.75398147048124,0.2819812021008907
1995,13.8027027027027,6.522604422604422,26349.7,12.94935926763323,0.9779531355728216
1996,12.256926952141058,5.63727959697733,24921.2,12.983608663878265,-0.5678226149888204
1997,13.72344139650873,6.818453865336658,26654.0,13.145329362132628,0.8986918293788513
1998,13.192345679012345,6.716049382716049,32888.9,13.178659407420795,0.3675961118824666
1999,13.671813725490196,6.908823529411765,32028.9,13.170031256160293,0.8470641583603182
2000,13.209273182957393,6.5741854636591475,34942.7,13.10702214413818,0.3845236158275149
2001,12.925980392156864,6.13578431372549,28606.4,13.136230352845391,0.1012308250269864
2002,13.496446700507615,6.944162436548224,32729.2,13.191592784453334,0.6716971333777373
2003,13.900728155339806,6.495388349514563,24761.4,13.328638965604748,1.075978588209928
2004,13.482835820895524,6.905970149253731,30183.0,13.366249470771224,0.6580862537656458
2005,13.416103896103897,6.733506493506494,26815.8,13.32758959011134,0.5913543289740186
2006,13.853002610966056,7.042036553524804,27919.0,13.487197155993844,1.0282530438361783
2007,13.63082901554404,6.815544041450778,29417.8,13.477935917897373,0.8060794484141613
2008,13.241253263707572,6.448302872062663,30827.4,13.482826676366894,0.4165036965776938
2009,13.27068062827225,6.425916230366492,28846.7,13.442713366645105,0.4459310611423728
2010,12.262182741116751,5.20228426395939,25826.9,13.348004322461035,-0.5625668260131267
2011,13.796629213483149,6.850842696629214,23848.2,13.435069204593663,0.9718796463532708
2012,12.971098265895954,6.187861271676301,30654.9,13.3825343611325,0.1463486987660758
2013,12.912968299711816,6.0757925072046115,24434.9,13.2837583755697,0.0882187325819376
2014,14.087106017191976,7.213180515759313,29064.0,13.344185395199348,1.2623564500620983
2015,13.686337209302328,6.61453488372093,25624.4,13.371208726519187,0.8615876421724504
2016,13.582234957020058,6.679369627507163,25003.6,13.344131961124589,0.7574853898901797
2017,13.727793696275072,6.956733524355301,25332.6,13.353828429197694,0.9030441291451936
2018,13.712202380952382,6.55625,24199.0,13.400923340922173,0.8874528138225042
2019,13.651987767584098,6.655657492354741,26294.3,13.439054054853358,0.8272382004542198
2020,13.064331210191082,5.394267515923567,10152.4,13.51926890176079,0.2395816430612036
