,Year,Season,Avg_Tmax,Avg_Tmean,Total_Rainfall
0,1979,Autumn,15.497802197802198,11.586813186813188,137.8
1,1979,Spring,12.656521739130437,8.605434782608697,259.5
2,1979,Summer,20.88478260869565,16.531521739130437,92.7
3,1979,Winter,5.844444444444444,3.0900000000000003,194.7
4,1980,Autumn,14.313186813186814,10.938461538461539,150.6
5,1980,Spring,13.476086956521739,9.233695652173912,119.8
6,1980,Summer,20.504347826086956,16.25,217.79999999999998
7,1980,Winter,8.349450549450548,5.007692307692308,99.89999999999999
8,1981,Autumn,14.731868131868131,11.107692307692307,205.2
9,1981,Spring,13.725,10.105434782608697,203.0
10,1981,Summer,21.094565217391306,16.60978260869565,141.5
11,1981,Winter,6.546666666666667,3.313333333333333,129.9
12,1982,Autumn,15.297802197802197,11.876923076923076,221.6
13,1982,Spring,14.65,9.754347826086956,146.2
14,1982,Summer,22.023913043478263,17.57282608695652,148.8
15,1982,Winter,7.895555555555556,4.663333333333333,133.2
16,1983,Autumn,15.059340659340661,11.662637362637362,124.1
17,1983,Spring,13.05108695652174,8.821739130434782,208.1
18,1983,Summer,24.354347826086954,19.046739130434784,73.7
19,1983,Winter,8.37888888888889,5.293333333333333,129.1
20,1984,Autumn,15.3989010989011,12.078021978021978,226.0
21,1984,Spring,12.816304347826087,8.601086956521739,169.7
22,1984,Summer,23.426086956521736,18.079347826086956,83.1
23,1984,Winter,7.9824175824175825,4.958241758241758,162.9
24,1985,Autumn,14.930769230769231,11.04065934065934,59.6
25,1985,Spring,13.36195652173913,9.08804347826087,132.1
26,1985,Summer,20.52282608695652,16.133695652173913,183.0
27,1985,Winter,6.781111111111111,3.9988888888888887,151.6
28,1986,Autumn,15.231868131868131,11.287912087912089,161.3
29,1986,Spring,12.604347826086956,8.345652173913043,156.5
30,1986,Summer,21.40869565217391,16.75108695652174,138.5
31,1986,Winter,6.246666666666667,3.4811111111111113,180.7
32,1987,Autumn,14.484615384615383,11.200000000000001,255.0
33,1987,Spring,13.58695652173913,9.256521739130434,136.7
34,1987,Summer,20.80217391304348,16.452173913043477,204.4
35,1987,Winter,6.942696629213483,4.214606741573034,57.300000000000004
36,1988,Autumn,14.64065934065934,10.906593406593407,100.1
37,1988,Spring,14.182608695652174,10.015217391304347,128.8
38,1988,Summer,20.482608695652175,16.225,181.4
39,1988,Winter,9.246153846153845,6.2989010989011,141.8
40,1989,Autumn,16.04945054945055,12.462637362637361,87.39999999999999
41,1989,Spring,15.221739130434784,10.722826086956522,132.9
42,1989,Summer,24.125,18.577173913043477,127.9
43,1989,Winter,9.712222222222222,6.503333333333333,185.5
44,1990,Autumn,15.575824175824177,12.009890109890112,96.7
45,1990,Spring,16.395652173913046,11.131521739130434,40.7
46,1990,Summer,23.181111111111115,17.993333333333336,73.2
47,1990,Winter,9.848888888888888,6.894444444444445,214.8
